Title,Title2,Author,Description,Image URL,Genres
Grandma Bubba'S Warm Shawl,grandma bubba's warm shawl,Rijuta Ghate,,"data:image/jpg;base64,/9j/4AAQSkZJRgABAQEAPAA8AAD/2wBDAAMCAgMCAgMDAwMEAwMEBQgFBQQEBQoHBwYIDAoMDAsKCwsNDhIQDQ4RDgsLEBYQERMUFRUVDA8XGBYUGBIUFRT/2wBDAQMEBAUEBQkFBQkUDQsNFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBT/wAARCABQADcDAREAAhEBAxEB/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/8QAHwEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoL/8QAtREAAgECBAQDBAcFBAQAAQJ3AAECAxEEBSExBhJBUQdhcRMiMoEIFEKRobHBCSMzUvAVYnLRChYkNOEl8RcYGRomJygpKjU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6goOEhYaHiImKkpOUlZaXmJmaoqOkpaanqKmqsrO0tba3uLm6wsPExcbHyMnK0tPU1dbX2Nna4uPk5ebn6Onq8vP09fb3+Pn6/9oADAMBAAIRAxEAPwD628aeN9F+HmgT634hu5LDSYGVZrpLWa4Ee44UsIkdlBOBuIxkgZyRnnhCU3yx3PnKVKdaXJBXY3xJ460Twh4Tl8TazePYaJFEk0lzJazM0aOVClo1QyDlhkFcjvinGnKUuSO4QpSqT9nFamnHq1rJpI1MyNDYmD7SZbmN4Ske3cWZXAZMDqGAI74qXFp2I5XzcpnP420ZfB6eKUu3uNBe0S+W6tbaWctAyhg4jjRnIwQT8uQMk4wafK3Lk6lezlz+ztrsVp/iR4ftvCmm+JGvJ30XUjCLOeDT7mV5/N/1WIkjMg3ZGMqOo9RVezk5OHVDVKTm6dtUaep+JdM0W50q3v72O0n1W5+yWccuVM0vlvJsHHB2o3XHOB1IBhRck2lsTGEpJtLbc0T2qSDz/wCOupaRp/w/263PaRafc6tpMMqXsiqksf8AaVs0oO48gRLIzeiqxPANb0E3PTez/I68KpOr7m9n+R474+ttV034N+NfDWvMyaH4S0u8t9L1O6kG3V/OgZbAKx++0UTsjD+KQRsOQa64OLqRlHeX4dzupOLrQqQ3k1ddrb/f/meq+PPEUPiKy8NeFNHvNMu7zxAq3RinvPLjnsIgJJQGUOSJPljwFOVeQ9EJHNGPLKUn0/M4qUeRyqS+z+b2Mz4Las3hbxR4n+G+ovYQXWny/wBraZa2dz5yR2dyxcwLlVP7qQsMFRhJI8cYNVWSlGNRdf0LxMVOMa8euj9V1+ZT+FVtoFp8WvGXh6y1eG6svD80c+jaN9pR0sGuEJuzEg5wshKd/KEjKNocguq5OnGTW+/n2Lryk6MJtavd+mxU8eaXqHxku/FE+gXOivFoWNP06/uNRaOSwv4XjuZLlQsbD/WJDHhmXiB+drmqptUbKV9fy2KpSjh+VTv72r81tY9N+F3xAtPih4B0bxJabEN5ApngRg32ecDEkRP+y2RnuMHoRXNUp+zm4nDWpOjUdN9DT8X+KovBvh+61SRfNaMBYoBMsRmkJwqBmIAye56DJ7VMYuTsTTi5yUUZOq/Em00h9DvBE9x4e1Sze9bWIJMpaxDydskiYz5REy5kBOzqwC5ZbVNu66ouNKTur2kuncrP8SZns5DDZ2fnQ6YNVumudQaO2iiZ5Fj/AHoiYtu8pyTsAUDknjL9n39CvZa2fe3ncv2vjiW88XSaHHZxm3R41W68+U7w8BlBCiEoOmMFwcc+xlw93mJdO0FK/wDX3kVj4+n1DRPDc4sI01DXHdLe0e7PlJtjklYtL5efuxHgITkgdAWDcLN9kN07OSb0Qui+PZtY1TTLF9O+zzTNfxXW65LfZ5LWRI2CfJ+8VjICG+XjqAcgKULJu/YUqfKm732/E3NF1WbWLKSe4hW3ljurm2ZElMo/dTvFkMVXr5ecY4zjmokrOxnNWlYmuoLZ7ywmmz58ErNbkMw2uY2UnA4PyF+vqaE3ZpBFSalbtqZGmWWgaV9iFmohEMUkdunmSFdkj7nAUnByyj1xgDjgVTc3qzplSr/aX9f8MVZfDPhTULSPT1sY0gs7M2qw2vmQbLZl5h/dlSYyMfJ09qalNa3KcMRD35Ld+T1LCWvh8ap/aaM63czCQlZpgsjRpsB8vO0lV4+7x9RR79rMJUMQk4OO3oVl8I+F7Wyt7b7K6W6BJrdjPOTDsyqtHJuzHjzWGVIyHPY0c076CUa8pO2rWnT7rddvPYvRaHoWqW0EEMPy2bmWKS3kkikjaQEswkUhsvuJJz82TnNJuS1ZnNVaTvPr3t0Ne1s4NOtIre3jWG3iXaqL0A/z371DbbOdtyd2TJp17qVzEllZ/bCh3thQSnbIyQB1Iz+hpxNqUHO8Ve5HZeE9bnnSGbQ4LSBcefJLGoRVHDMCSM8FsD078nGijruej7KLk26kl57fp/XYz5kvrUZt7S1eYfKWACjG0Hj5v72R1IIGeM1Lcb2uc7VBzcXNuK29b+n9MZaw3QuFV7C1jgR3CsiDIXnaRzwfbHc0N+YqkqXI3GbbaX9bE3kXjaZHL9itDcIShibACrlCMHnjg+nQdwAX7pq44ZJtVJav/PyHabHOk03mWkNuhxholCl8ZHIBPYCpdujOas4tLlk36/8ADHwf+1/+0LrOsfEubw14e1W60zSvDkzQvLY3DQvPeYKykspBwmWjA9Q578e5g6EYw55K7Z9Bl2FhGn7Sau5d+x+kPhjWh4Z1KSG+xDbygB2IB2n+E5HJHX868SB4NCTpzcH1N3xb4sjtQLS08qeY8uZE3Ko7cdz3pt22OmvXUNI6s4aCYQ3CyvGsuCSUIABrI8yMrO71AlWmeQIFTJYKP4T1x9KaC6vdFy/la9dXVMO4ChVHXIWq6WNZtyWhWSymQiR4mEayBGJ9c4xSsYuMkr2Px4uLOTxHe6lqE95Et9PdySSLM20FmYsxJ9yTX1kVyxSPvlLlSilpY/RL9r/w5L470LS9Jttdu9H1o/bNRt3ihka3nht4h50croQIzhlKluCQR3yPCwkvZtyauj5rA1HTnKo1dPR/ebH7NGqa3N8OrjQvEejXGl3nhm5Gh208r7vtkcCKjOeTzlTyDg5GOhrHEqHMpQd76nPjYUVLmpyu5a+h6uIncAhSAc4Y8D865Ueckzznxre3XgLxRPqmnfa54L0A3EVwm62cdAA4PysPQ9PpxXqUYxrw5JW027n3mW0KOaYVYauorl+Fp+8vVdfvM6D416vc6hbImm2rxNIiCFA5kY8D5Tuxnjjit3g4KL1O6fDeGp0pS9o7pbu1l6/8OewW5l8hUJmCybZI0xgliQBkH3/lXiNWPziScbxbufnn8IP2Ur74weL9evryWfRvBkOp3UFne24QTXzbpCqwFuCFX5mY8YG0cnj6f2ijBeh9i63JCKWrsj6jPxW/4WJpPiuC58P6hoVxpUWqWLQX4I85VRcSJwvB3cg54IwTnjxnTVNxd73seDKkqPLJSve35mn4R1xNGu/F95cPczxyaxcQxwRBnUym8uUAA+7HkhQWO1RgFiAM1jKPNypdv0RyThKo4RW9v0Rwvhvx54y1P9qh9LvPEMFl4TubBri00Ce5jEzReR8pEIyyyGRTLuJ5jJxweOmVOEcPdLW+53VKVOGD+H3k9WezaN4itfGlnqNvLaTwxCSS3kt7sFTIoxkj8/qD+FedGbTTXQ8inVnSqKpB2a1OAFz4Y+HfjmGEw3V+yMoM80qhLUtjkgDLEBh+frXXUxrqR5JH02Jz2tjMO6NR8t+y3+dz1DWtPbWNKvhJqB0/SI9yanqUJw6Q4O9IT/z0bhQf4MluoAN4ei5zTa9F/XQ8TDUm5c8tkdB8HfCx1W3jv/sSaVpUUIt9M02NcJaWwGFUD+8cAse5+grrxMlF+zj0382eurvVnyrqHiC7uvBkev6pqsb6wkMtrcSWcxuIVQKyvbsSTuwASASTkNgGTzSmLSUnGJg4QUnFLqa8+rPq1v4v1W3lMF3c3ct1Y2lxbtJC0sl1cTwmWLIyYw8ZZP723cdoNS46xXYiSu4Nrsn91nYksfDz+JNa8OfF2z8Myal4m1SNm+1tbzRLboAYfLERI/g3DzXBJ3EghdoHNWqVKadCL905686lKMsMn7t/vPYddEN5qUcQt54tSsyvCtAZEWRSVDHflQ23PGOVFcj1sebKPKyn4W+G+gfEvWW1fU76K6MPyyW9nKMPt4zIysecDHy46da9GjGlyqaV5ef+R6OHownFSZq6g8fxG8X2vhPSIxD4a0l1a5WMYWWQcqnuB1P4V67f1anzy+KR6CV3ZbH0RpOmx6VYxW8ahQoA4rxW76mp+fF94j8M+LPBevXOlD7Hpty19bWEMmPPSSCPfLHPbgEovIZGHzKuwuNpArblnGSvqzjlCpSmlLVq1/8AgM63w14FvfEOlT3NpfWmnxRSz2qsIUlkM8btG+9G3KPLkVlKsDloyDlQTJnKqou0lcxnXjT0krm94Sn+LjfF/wAVDxZcWc/gCOEQ6SsSwgmXK/MNo8wHbv3iTjcRtGKmboqmuX4ia8qHsI8l+Y39fa9tNas5UjEsEs8CByyxqg3bSrNjJ5K7Rnk8dcA8L3PLOL8O2kth4oe48KySvIt3dRXNu0QhWJWeMlWXPQ4cBjycdARz04d2qX6I78NzNqx9I/BX4fweENFMmxjPIxYvIcsxJyST3Ndles60+ZnsJWR6ZXOM/9k\x3d",
Grandma'S Bag Of Stories,grandma's bag of stories,Sudha Murty,"Grandma tells the stories over long summer days and nights, as seven children enjoy life in her little town. The stories entertain, educate and provide hours of enjoyment to them. So come, why donâ€™t you too join in the fun.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346145512l/13510813.jpg,Fiction;Short Stories;Childrens;Asian Literature>Indian Literature;Cultural>India;Short Stories>Short Story Collection;Anthologies;Young Adult
Grandparents Bag Of Stories,grandparents bag of stories,Sudha Murty,"Grandma tells the stories over long summer days and nights, as seven children enjoy life in her little town. The stories entertain, educate and provide hours of enjoyment to them. So come, why donâ€™t you too join in the fun.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1605517741l/55898358._SY475_.jpg,Childrens;Fiction;Asian Literature>Indian Literature
Great Big Train,great big train,Benedict Blathwayt,"With a minimal text and big, busy pages Ben's books have enormous appeal for young children. Now enjoy this classic picture book with the accompanying audio CD, read by Richard Briers with music and sound effects.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320425556l/1474581.jpg,Childrens>Picture Books
Great Stories For Children,great stories for children,Ruskin Bond,Great Stories for Children is a potpourri of short stories that effectively transports the reader to the fascinating world of its endearing characters.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352693305l/16143582.jpg,Short Stories;Fiction;Childrens;Adventure;Drama;Diary;Young Adult>Coming Of Age
Green Eggs And Ham,green eggs and ham,Dr. Seuss,"When Sam-I-am pesters a grumpy grouch to eat a plate of green eggs and ham, we soon find out we can't really know what we like until we try it!",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468680100l/23772.jpg,Childrens;Childrens>Picture Books;Classics;Fiction;Poetry;Fantasy;Humor;Kids;Food and Drink>Food;Young Adult
Guess How Much I Love You,guess how much i love you,Sam McBratney,"""How much can you love someone? Little Nutbrown Hare wants to show Big Nutbrown Hare how very much he loves him-- but love as big as his is very hard to measure! Read this tender book with someone you love!""--Page 4 of cover.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320457007l/301736.jpg,Childrens>Picture Books;Childrens;Fiction;Animals;Family;Classics;Love;Kids;Childrens>Storytime;Animals>Rabbits
Gulliver'S Travels,gulliver's travels,Jonathan Swift,"Gulliver's Travels by Jonathan Swift from Coterie Classics All Coterie Classics have been formatted for ereaders and devices and include a bonus link to the free audio book. â€œEvery man desires to live long, but no man wishes to be old.â€ ...",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427829692l/7733.jpg,Classics;Fiction;Fantasy;Adventure;Literature;Novels;Classics>Classic Literature;Literature>18th Century;Academic>School;European Literature>British Literature
Hairy Maclary From Donaldson'S Dairy,hairy maclary from donaldson's dairy,Lynley Dodd,"The classic story in a new, larger format. Hairy Maclary goes off for a walk with a few of his friends - and comes up against a nasty surprise in the shape of Scarface Claw",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348010249l/1153709.jpg,Childrens>Picture Books;Childrens;Animals;Fiction;Animals>Dogs;Poetry;Classics;Childrens>Storytime;Animals>Cats;Humor
Hairy Maclary Scattercat,hairy maclary scattercat,Lynley Dodd,"In SCATTERCAT, Hairy encounters the ferocious Scarface Claw, who ""bothered and bustled him, rustled and hustled him, raced him and chased him all the way home.""",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348407892l/1153715.jpg,Childrens>Picture Books;Childrens;Fiction;Animals>Cats;Animals;Animals>Dogs;Humor
Hairy Maclary'S Caterwaul Caper,hairy maclary's caterwaul caper,Lynley Dodd,"Hairy Maclary heard a strange sound, a yowling, a wailing that echoed around .",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348912605l/1153713.jpg,Childrens>Picture Books;Childrens;Animals>Dogs;Animals>Cats;Animals;Fiction;Poetry
Hamlet,hamlet,William Shakespeare,"When the ghost of his father appears to Prince Hamlet of Denmark, urging him to avenge his murder upon his uncle, the tragic flaw of indecision leads Hamlet to ruin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351051208l/1420.jpg,Classics;Plays;Fiction;Drama;Academic>School;Literature;Plays>Theatre;Academic>Read For School;Poetry;Young Adult>High School
Hamna Khoji Nai Kahani,hamna khoji nai kahani,Vibha Devasre, , ,
Hansel And Gretel,Hansel and Gretel,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472224627l/1299393._SX318_.jpg,Classics;Childrens;Fantasy;Fiction;Fantasy>Fairy Tales;Childrens>Picture Books;Short Stories;Literature>19th Century;European Literature>German Literature;Paranormal>Witches
Happy Dog Sad Dog,happy dog sad dog,Sam Lloyd,"""Hot dog, hairy dog, dirty dog--find out the opposites of these and more inside ...""--Cover back. On board pages.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348913560l/1054174.jpg,
Harry And The Bucketful Of Dinosaurs,harry and the bucketful of dinosaurs,Ian Whybrow,Five roaringly good Harry stories. Meet Harry and his bucketful of dinosaurs. Harry doesn't go anywhere without his beloved dinosaurs in their special bucket and since he found them they've had lots of fun together.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320458891l/7046991.jpg,Childrens>Picture Books;Animals>Dinosaurs;Childrens;Fiction;Childrens>Storytime;Animals;Adventure;Teaching
Harry And The Dinosaurs Go To School,harry and the dinosaurs go to school,Ian Whybrow,"A classic story about Harry and his bucketful of dinosaurs! When Harry and the dinosaurs go to the museum they see Roman swords and spears, Egyptian mummies and lots of Harry's ancestors.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387668135l/1172526.jpg,Childrens>Picture Books;Childrens;Animals>Dinosaurs;Academic>School;Fiction;Animals;School>Back To School
