Title,Author,Description
['the very hungry caterpillar'],['Eric Carle'],"['Colorful and full of imagination, the world of Eric Carle is a delight! Sings songs, cook, and create with the book box based of the worl of Eric Carle.']"
['millie goes for a drive'],['Peter Curry'],"['This series of board books will appeal to child and parent. Engaging, bright artwork in each book will add fun to childrens learning of basic concepts.']"
